Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY,Z,Z(lnlz),z^2,VEC
4/26/2017,STTD,9:49:00 AM,1,15.7,0.41,99.3,121,7.11,9.53,18,TRUE,529.8,0.04,391.1,0.09,267.4,0.4,128.8,0.96,6.2,WY17,1.49,4.436617287,1.0913,7.017917287
3/28/2018,STTD,9:30:00 AM,,14.6,0.23,568,707,7.99,8.37,38.7,TRUE,2017,0.04,1516.5,0.12,1001.2,0.22,501.4,0.83,19.61,WY18,1.21,4.959982782,0.7533,6.923282782
3/14/2018,STTD,9:48:00 AM,,14.9,0.37,640,793,7.95,7.56,21.2,TRUE,700.8,0.03,524.6,0.06,354,0.28,174.1,1.07,7.08,WY18,1.44,4.079016335,1.2278,6.746816335
2/23/2017,SHR,8:08:00 AM,,9.2,0.21,46,65.8,7.51,11.8,42.2,TRUE,1979.5,0.04,1491.6,0.07,947.6,0.16,493.5,0.93,20.1,WY17,1.2,4.554992544,0.897,6.651992544
8/2/2017,LIS,8:51:00 AM,1,24.9,0.18,314,315,7.94,5.78,56.2,TRUE,2080,0.07,1566,0.12,1038,0.23,521,0.7,20.2,,1.12,4.891146052,0.5622,6.573346052
1/9/2019,SHR,9:06:00 AM,1,8.9,0.38,113,163,7.44,10.62,30.9,TRUE,808.6,0.04,603.2,0.07,401.6,0.21,205.5,1.04,8.11,WY19,1.36,3.970937362,1.1322,6.463137362
1/24/2017,STTD,9:20:00 AM,1,8.8,0.14,78,113,7.44,10.47,73.6,TRUE,1901.9,0.05,1457.6,0.09,981.5,0.18,478.7,0.82,19.08,WY17,1.14,4.512923391,0.7154,6.368323391
1/23/2017,SHR,9:45:00 AM,1,8.8,0.16,66,96.3,7.36,11.03,55,TRUE,2268,0.07,1737.2,0.09,1171.8,0.18,588,0.74,23.1,WY17,1.08,4.629455748,0.593,6.302455748
6/12/2017,STTD,10:30:00 AM,,21,0.17,551,596,7.75,4.82,54,TRUE,2422,0.03,1826,0.14,1224,0.21,608,0.67,25,WY17,1.05,4.723463145,0.5135,6.286963145
2/16/2017,STTD,11:50:00 AM,,10.1,0.2,54.4,76,7.4,11.15,49.8,TRUE,505.2,0.02,378,0.12,256.4,0.28,126.6,0.93,5.39,WY17,1.35,3.706422842,0.9581,6.014522842
